Feature,Importance
presence_rate_delta,0.1285682260797638
ban_rate_delta,0.11884413941538026
win_rate_top,0.07779143350863452
win_rate_middle,0.07719408826262322
op_index,0.06360140073138487
win_rate_jungle,0.05588036489117388
ban_pressure_delta,0.05154260618446548
primary_position_MIDDLE,0.048992954649866055
pick_rate,0.04813735099178574
presence_rate,0.047240418066479994
op_index_delta,0.03632135823443857
win_rate_bottom,0.03617283543001397
win_rate_utility,0.035453569774951635
ban_pressure,0.034735587584382076
ban_rate,0.032288935187941716
pick_rate_delta,0.028368354865782038
win_rate,0.02255693485628218
combo_win_rate,0.019540015734107397
win_rate_delta,0.015820705360948227
position_entropy,0.011243611077619816
primary_position_TOP,0.0041340460400920535
primary_position_UTILITY,0.003306185940819065
primary_position_BOTTOM,0.0013238896815471763
primary_position_JUNGLE,0.0009409874495161687
